word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
Command,0,96,135,81,20,0.05,0.125,0.0421875,0.0185185185185185
getBackCommand25,0,183,135,198,24,0.0953125,0.125,0.103125,0.0222222222222222
if,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
backCommand25,0,119,162,145,20,0.0619791666666666,0.15,0.0755208333333333,0.0185185185185185
==,0,269,162,27,13,0.1401041666666666,0.15,0.0140625,0.012037037037037
null,0,302,162,48,20,0.1572916666666666,0.15,0.025,0.0185185185185185
//GEN-END:,0,399,162,110,20,0.2078125,0.15,0.0572916666666666,0.0185185185185185
|,0,522,162,8,24,0.271875,0.15,0.0041666666666666,0.0222222222222222
618-getter,0,540,162,112,23,0.28125,0.15,0.0583333333333333,0.0212962962962962
|,1,662,162,9,24,0.3447916666666666,0.15,0.0046875,0.0222222222222222
0,0,680,162,16,19,0.3541666666666667,0.15,0.0083333333333333,0.0175925925925925
|,2,705,162,9,24,0.3671875,0.15,0.0046875,0.0222222222222222
618-preInit,0,724,162,122,24,0.3770833333333333,0.15,0.0635416666666666,0.0222222222222222
//,0,108,189,26,20,0.05625,0.175,0.0135416666666666,0.0185185185185185
write,0,139,189,60,20,0.0723958333333333,0.175,0.03125,0.0185185185185185
pre-init,0,205,189,90,24,0.1067708333333333,0.175,0.046875,0.0222222222222222
user,0,302,189,48,17,0.1572916666666666,0.175,0.025,0.0157407407407407
code,0,356,189,48,20,0.1854166666666666,0.175,0.025,0.0185185185185185
here,0,410,189,48,20,0.2135416666666666,0.175,0.025,0.0185185185185185
backCommand25,1,108,216,145,20,0.05625,0.2,0.0755208333333333,0.0185185185185185
=,0,259,216,16,13,0.1348958333333333,0.2,0.0083333333333333,0.012037037037037
new,0,281,216,37,17,0.1463541666666666,0.2,0.0192708333333333,0.0157407407407407
Command,1,323,216,90,24,0.1682291666666666,0.2,0.046875,0.0222222222222222
"""Back""",0,422,216,76,23,0.2197916666666666,0.2,0.0395833333333333,0.0212962962962962
Command.BACK,0,507,216,142,23,0.2640625,0.2,0.0739583333333333,0.0212962962962962
0,1,658,216,16,19,0.3427083333333333,0.2,0.0083333333333333,0.0175925925925925
);//GEN-LINE:|,0,682,216,140,24,0.3552083333333333,0.2,0.0729166666666666,0.0222222222222222
|,3,824,216,9,24,0.4291666666666666,0.2,0.0046875,0.0222222222222222
618-getter,1,842,216,113,23,0.4385416666666666,0.2,0.0588541666666666,0.0212962962962962
|,4,964,216,9,24,0.5020833333333333,0.2,0.0046875,0.0222222222222222
1,0,982,216,16,19,0.5114583333333333,0.2,0.0083333333333333,0.0175925925925925
|,5,1008,216,8,24,0.525,0.2,0.0041666666666666,0.0222222222222222
618-,0,1026,216,46,19,0.534375,0.2,0.0239583333333333,0.0175925925925925
post-init,0,22,243,89,24,0.0114583333333333,0.225,0.0463541666666666,0.0222222222222222
//,1,108,270,26,20,0.05625,0.25,0.0135416666666666,0.0185185185185185
write,1,139,270,60,20,0.0723958333333333,0.25,0.03125,0.0185185185185185
post-init,1,205,270,101,24,0.1067708333333333,0.25,0.0526041666666666,0.0222222222222222
user,1,313,270,47,17,0.1630208333333333,0.25,0.0244791666666666,0.0157407407407407
code,1,367,270,48,20,0.1911458333333333,0.25,0.025,0.0185185185185185
here,1,421,270,48,20,0.2192708333333333,0.25,0.025,0.0185185185185185
}//GEN-BEGIN:,0,65,297,141,24,0.0338541666666666,0.275,0.0734375,0.0222222222222222
|,6,219,297,9,24,0.1140625,0.275,0.0046875,0.0222222222222222
618-getter,2,237,297,113,23,0.1234375,0.275,0.0588541666666666,0.0212962962962962
|,7,359,297,9,24,0.1869791666666666,0.275,0.0046875,0.0222222222222222
2,0,378,297,15,19,0.196875,0.275,0.0078125,0.0175925925925925
|,8,403,297,8,24,0.2098958333333333,0.275,0.0041666666666666,0.0222222222222222
return,0,65,324,69,19,0.0338541666666666,0.3,0.0359375,0.0175925925925925
backCommand25,2,140,324,153,23,0.0729166666666666,0.3,0.0796875,0.0212962962962962
